iter	Passed	Remaining
619	1168	716
620	1170	714
621	1171	712
622	1173	710
623	1174	708
624	1176	705
625	1177	703
626	1179	701
627	1181	699
628	1182	697
629	1184	695
630	1185	693
631	1186	690
632	1188	688
633	1190	686
634	1191	685
635	1193	683
636	1194	680
637	1196	678
638	1197	676
639	1198	674
640	1200	672
641	1202	670
642	1203	668
643	1205	666
644	1206	664
645	1208	661
646	1209	660
647	1211	658
648	1212	655
649	1214	653
650	1215	651
651	1217	649
652	1218	647
653	1220	645
654	1222	643
655	1223	641
656	1225	639
657	1226	637
658	1227	635
659	1229	633
660	1231	631
661	1232	629
662	1234	627
663	1235	625
664	1236	623
665	1238	621
666	1239	618
667	1241	616
668	1242	614
669	1243	612
670	1245	610
671	1246	608
672	1248	606
673	1250	604
674	1251	602
675	1253	600
676	1254	598
677	1255	596
678	1257	594
679	1258	592
680	1260	590
681	1261	588
682	1263	586
683	1265	584
684	1266	582
685	1267	580
686	1269	578
687	1270	576
688	1272	574
689	1273	572
690	1275	570
691	1276	568
692	1278	566
693	1280	564
694	1281	562
695	1283	560
696	1284	558
697	1285	556
698	1287	554
699	1288	552
700	1290	550
701	1292	548
702	1293	546
703	1295	544
704	1297	542
705	1298	540
706	1299	538
707	1301	536
708	1303	534
709	1305	533
710	1307	531
711	1308	529
712	1310	527
713	1311	525
714	1313	523
715	1314	521
716	1316	519
717	1318	517
718	1320	515
719	1321	513
720	1323	512
721	1324	510
722	1326	508
723	1327	506
724	1329	504
725	1331	502
726	1332	500
727	1333	498
728	1335	496
729	1336	494
730	1338	492
731	1340	490
732	1342	488
733	1343	486
734	1345	485
735	1346	483
736	1348	481
737	1350	479
738	1351	477
739	1353	475
740	1355	473
741	1356	471
742	1358	469
743	1359	467
744	1360	465
745	1362	463
746	1364	462
747	1366	460
748	1367	458
749	1369	456
750	1371	454
751	1372	452
752	1374	450
753	1375	448
754	1377	447
755	1379	445
756	1381	443
757	1382	441
758	1384	439
759	1386	437
760	1387	435
761	1389	433
762	1390	432
763	1392	430
764	1394	428
765	1395	426
766	1397	424
767	1398	422
768	1400	420
769	1401	418
770	1403	416
771	1405	415
772	1407	413
773	1409	411
774	1410	409
775	1412	407
776	1413	405
777	1414	403
778	1416	401
779	1417	399
780	1419	397
781	1420	396
782	1422	394
783	1423	392
784	1425	390
785	1427	388
786	1429	386
787	1431	385
788	1432	383
789	1434	381
790	1436	379
791	1437	377
792	1439	375
793	1440	373
794	1442	371
795	1443	369
796	1444	368
797	1446	366
798	1447	364
799	1448	362
800	1450	360
801	1452	358
802	1453	356
803	1455	354
804	1457	353
805	1459	351
806	1460	349
807	1462	347
808	1463	345
809	1465	343
810	1467	341
811	1468	340
812	1470	338
813	1471	336
814	1473	334
815	1474	332
816	1475	330
817	1476	328
818	1477	326
819	1479	324
820	1481	322
821	1483	321
822	1485	319
823	1486	317
824	1488	315
825	1489	313
826	1491	311
827	1492	310
828	1494	308
829	1495	306
830	1497	304
831	1499	302
832	1501	300
833	1502	299
834	1503	297
835	1505	295
836	1506	293
837	1507	291
838	1509	289
839	1510	287
840	1512	285
841	1514	284
842	1516	282
843	1517	280
844	1519	278
845	1520	276
846	1522	274
847	1523	273
848	1526	271
849	1527	269
850	1529	267
851	1530	265
852	1532	264
853	1534	262
854	1536	260
855	1537	258
856	1540	257
857	1542	255
858	1543	253
859	1545	251
860	1547	249
861	1548	247
862	1550	246
